nct_id,study_title,phase_clean,status,intervention_name,intervention_type,mechanism_class,sponsor,conditions,start_date,primary_completion_date,source_link
NCT05786443,Safety and Efficacy of Empagliflozin in Hemodialysis,Unknown,RECRUITING,"Empagliflozin 10 MG, Placebo","DRUG, DRUG",Other,NYU Langone Health,['End Stage Renal Disease'],2024-01-31,2026-12-30,https://clinicaltrials.gov/study/NCT05786443
NCT04365517,The Effect of Sitagliptin Treatment in COVID-19 Positive Diabetic Patients,Unknown,UNKNOWN,Sitagliptin,DRUG,Other,University of Milan,"['Covid19', 'Diabetes Mellitus, Type 2', 'CKD']",2021-12-29,2022-03-30,https://clinicaltrials.gov/study/NCT04365517
NCT01967589,"Investigation on Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple Doses of a Long Acting GLP-1 Analogue (NNC0113-0987) in Healthy Male Subjects",Unknown,COMPLETED,"NNC0113-0987, placebo","DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Healthy']",2013-10,2014-05,https://clinicaltrials.gov/study/NCT01967589
NCT03235050,A Study to Evaluate the Efficacy and Safety of MEDI0382 in the Treatment of Overweight and Obese Subjects With Type 2 Diabetes,Unknown,COMPLETED,"MEDI0382 low dose, MEDI0382 mid dose, MEDI0382 high dose, Placebo, Liraglutide","DRUG, DRUG, DRUG, DRUG, DRUG",Other,AstraZeneca,"['Diabetes Mellitus, Type 2']",2017-08-02,2018-05-03,https://clinicaltrials.gov/study/NCT03235050
NCT03990090,A Study of TG103 in Chinese Healthy Adult Subjects,Unknown,COMPLETED,"TG103, Placebo","DRUG, DRUG",Other,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",['Healthy'],2019-07-29,2020-11-11,https://clinicaltrials.gov/study/NCT03990090
NCT06064084,Incretin Effect in Patients With Psoriasis and Controls,Unknown,COMPLETED,"Oral glucose tolerance test, Intravenous isoglycaemic glucose clamp, Liquid Mixed meal test","DIAGNOSTIC_TEST, OTHER, OTHER",Other,"University Hospital, Gentofte, Copenhagen",['Psoriasis Vulgaris'],2011-09-11,2015-09-11,https://clinicaltrials.gov/study/NCT06064084
NCT04280549,Platelet PAR-1 Activation in Health and Diabetes,Unknown,COMPLETED,,,Unknown,Vanderbilt University Medical Center,"['Type 2 Diabetes', 'Healthy']",2018-06-01,2021-02-02,https://clinicaltrials.gov/study/NCT04280549
NCT00866658,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Basal Insulin +/- Sulfonylurea (GETGOAL-L-ASIA)",Unknown,COMPLETED,"Lixisenatide (AVE0010), Placebo, Pen auto-injector, Sulfonylurea, Basal Insulin","DRUG, DRUG, DEVICE, DRUG, DRUG",Other,Sanofi,"['Diabetes Mellitus, Type 2']",2009-03,2010-06,https://clinicaltrials.gov/study/NCT00866658
NCT01162876,A Clinical Pharmacology Study of Saxagliptin in Patients With Type 2 Diabetes Mellitus,Unknown,COMPLETED,saxaglipitin,DRUG,Other,"Kyowa Kirin Co., Ltd.",['Diabetes'],2010-07,2010-11,https://clinicaltrials.gov/study/NCT01162876
NCT06647368,Development of a Non-invasive Method for Quantifying Cerebral Glucose Metabolism for Studying the Effect of Glucagon in Humans,Unknown,RECRUITING,PET with 18-FDG,OTHER,Other,Nicolai Jacob Wewer Albrechtsen,['Cerebral Glucose Metabolism'],2024-10-22,2024-12-17,https://clinicaltrials.gov/study/NCT06647368
NCT06142006,The Diabetes Staging System in Patient Aligned Care Teams,Unknown,RECRUITING,Diabetes Staging System (DSS) use among Primary Care Teams,OTHER,Other,Durham VA Medical Center,"['Diabetes Mellitus', 'Type 2 Diabetes']",2023-09-01,2024-09-01,https://clinicaltrials.gov/study/NCT06142006
NCT04186026,Co-infusion of Neurotensin and GLP-1 Effects on Appetite and Food Intake.,Unknown,UNKNOWN,"Saline + saline, Neurotensin + saline, GLP-1 + saline, GLP-1 + Neurotensin","OTHER, OTHER, OTHER, OTHER",GLP-1 agonist,University of Copenhagen,['Obesity'],2019-10-01,2024-06-10,https://clinicaltrials.gov/study/NCT04186026
NCT04860869,"Endocrine, Metabolic and Microbiome Influence on the Post-acute Sequelae SARS-CoV-2 (PASC)",Unknown,COMPLETED,,,Unknown,"The University of Texas Medical Branch, Galveston",['Covid19'],2021-05-12,2022-05-31,https://clinicaltrials.gov/study/NCT04860869
NCT01718457,Endobarrier Treatment in Obese Subjects With T2DM,Unknown,UNKNOWN,Endobarrier,DEVICE,Other,Sheba Medical Center,"['Type 2 Diabetes', 'Obesity']",2012-12,2016-12,https://clinicaltrials.gov/study/NCT01718457
NCT01121783,The Effect of Lactisole on the Responses to Glucose Solution,Unknown,UNKNOWN,"Lactisole, Lactisole, Lactisole, Lactisole","OTHER, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,Northern Care Alliance NHS Foundation Trust,"['Blood Glucose', 'Appetite', 'Therapeutic Uses', 'Hormones']",2010-05,2011-05,https://clinicaltrials.gov/study/NCT01121783
NCT04712266,A Trial to Investigate Hyperglycemic and Hypoglycemic Excursions in Subjects With Type 1 Diabetes,Phase 1,COMPLETED,"Glucagon, Insulin","DRUG, DRUG",Other,Abvance Therapeutics,['Type 1 Diabetes Mellitus With Hypoglycemia'],2020-09-15,2020-12-15,https://clinicaltrials.gov/study/NCT04712266
NCT06222775,"Multicomponent Intervention on Lifestyle, Anthropometric Measurements, Glycemic Control and Quality of Life in Patients Obese People With Type II Diabetes",Unknown,RECRUITING,"Group session 1, Group session 2, Group session 3, Group session 4, Group session 5, Group session 6, Group session 7 to 8, Group session 9, Control Intervention 1, Control Intervention 2, Control Intervention 3, Control Intervention 4","BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL, BEHAVIORAL",Other,Castilla-La Mancha Health Service,"['Obesity', 'Diabetes Mellitus, Type 2']",2023-12-04,2025-12-31,https://clinicaltrials.gov/study/NCT06222775
NCT06208475,Different Menstrual Cycle in Eating Behavior Following Resistance Exercise,Unknown,COMPLETED,Resistance exercise,OTHER,Other,National Taiwan Normal University,"['Menstruation', 'Energy Balance', 'Appetitive Behavior', 'Food Reward']",2023-08-01,2024-06-06,https://clinicaltrials.gov/study/NCT06208475
NCT02863419,Efficacy and Safety of Oral Semaglutide Versus Liraglutide and Versus Placebo in Subjects With Type 2 Diabetes Mellitus,Unknown,COMPLETED,"semaglutide, liraglutide, placebo","DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Diabetes Mellitus, Type 2']",2016-08-10,2017-08-19,https://clinicaltrials.gov/study/NCT02863419
NCT06640972,Effects of RDX-002 on Postprandial Triglycerides in Patients Discontinuing GLP-1 Agonists,Unknown,ACTIVE_NOT_RECRUITING,"RDX-002, Placebo","DRUG, DRUG",Other,Response Pharmaceuticals,"['Triglycerides', 'Weight Gain Trajectory', 'Cholesterol, Elevated']",2024-09-27,2025-01-04,https://clinicaltrials.gov/study/NCT06640972
NCT03648112,"Effects of Beta-glucan From Barley and Oats on Glucose and Lipid Metabolism, and Satiety",Unknown,COMPLETED,"Intervention 1, Intervention 2, Intervention 3, Intervention 4, Control","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",Other,University of Jena,"['Lipid Metabolism', 'Glucose Metabolism', 'Satiety']",2018-05-02,2018-05-31,https://clinicaltrials.gov/study/NCT03648112
NCT03406312,Validation of a Diagnostic Tool for Postprandial Hypoglycaemia in Patients After Roux en Y Gastric Bypass Surgery,Unknown,COMPLETED,Post Prandial Hypoglycemia test,DIAGNOSTIC_TEST,Other,University Ghent,['Post Prandial Hypoglycemia'],2017-06-01,2020-05-05,https://clinicaltrials.gov/study/NCT03406312
NCT00318461,To Compare the Effect of Liraglutide When Given Together With Metformin With the Effect of Metformin Given Alone and With the Effect of Glimepiride and Metformin Given Together,Unknown,COMPLETED,"liraglutide, metformin, glimepiride, placebo, placebo, liraglutide, liraglutide","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG",Other,Novo Nordisk A/S,"['Diabetes', 'Diabetes Mellitus, Type 2']",2006-05,2007-05,https://clinicaltrials.gov/study/NCT00318461
